gene,logfoldchange,pvals,pvals_adj,group
Cd79a,12.047956466674805,2.2642366255989385e-97,4.528473251197877e-94,B Cell
Ighm,6.949603080749512,1.9957531267437696e-93,1.9957531267437694e-90,B Cell
Bank1,7.302762985229492,2.9784972500303107e-92,1.694331483521764e-89,B Cell
Igkc,12.973688125610352,3.388662967043528e-92,1.694331483521764e-89,B Cell
Ly6d,14.055160522460938,2.981169720017298e-87,1.1924678880069192e-84,B Cell
Cd37,5.558197498321533,7.089960373463675e-86,2.3633201244878914e-83,B Cell
Ripor2,6.275650978088379,4.673946018755692e-83,1.335413148215912e-80,B Cell
Stk17b,4.463385105133057,4.8295337928814476e-82,1.2073834482203618e-79,B Cell
H2-DMb2,8.1397066116333,1.487203198254575e-81,3.3048959961212776e-79,B Cell
Arhgap15,4.857499599456787,2.7990950362759326e-80,5.5981900725518655e-78,B Cell
Iglc2,12.63315486907959,5.0773672913614484e-80,9.231576893384453e-78,B Cell
Cd79b,8.369200706481934,2.4036076032374418e-79,4.006012672062403e-77,B Cell
Cytip,4.941664218902588,8.45322957997887e-79,1.3004968584582878e-76,B Cell
Prkcb,4.7407450675964355,3.2815994336090874e-78,4.6879991908701246e-76,B Cell
Rel,4.005221843719482,1.2851712316591182e-77,1.7135616422121577e-75,B Cell
Dennd4a,3.6608638763427734,1.3589874939735415e-76,1.698734367466927e-74,B Cell
Dock2,4.34291934967041,2.181575201044905e-75,2.5665590600528292e-73,B Cell
Inpp5d,4.338469505310059,2.314646977043167e-75,2.5718299744924078e-73,B Cell
Mir142hg,4.590415954589844,1.056283727937271e-74,1.1118776083550222e-72,B Cell
H2-Ob,7.566084861755371,1.7179113639573143e-74,1.7179113639573142e-72,B Cell
Ms4a1,10.909041404724121,3.5090005728074156e-74,3.3419053074356335e-72,B Cell
Blk,9.807355880737305,5.857309730908242e-74,5.324827028098403e-72,B Cell
Gm8369,7.785477638244629,3.189202673738992e-73,2.7732197162947757e-71,B Cell
Iglc3,13.438497543334961,6.488811005735752e-71,5.407342504779793e-69,B Cell
Ccr7,8.528923988342285,5.104265053091345e-69,4.083412042473076e-67,B Cell
Pax5,12.625548362731934,1.0365543618927759e-68,7.973495091482892e-67,B Cell
H2-Ab1,5.0498552322387695,1.491869557329296e-66,1.1050885609846638e-64,B Cell
Ikzf3,7.256200313568115,6.200308528581896e-66,4.428791806129926e-64,B Cell
Ighd,11.183622360229492,2.0230915852510556e-65,1.3952355760352106e-63,B Cell
Cd74,6.062845230102539,3.0609942785697183e-65,2.0406628523798123e-63,B Cell
H2-Eb1,5.070906162261963,3.501720031592565e-65,2.259174213930687e-63,B Cell
Fam107b,4.368323802947998,9.255665457116358e-65,5.784790910697723e-63,B Cell
H2-Aa,5.198739051818848,1.6594117607305118e-64,1.0057040974124314e-62,B Cell
Fcmr,14.379816055297852,1.8865927464861848e-64,1.1097604391095205e-62,B Cell
