,group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,B-Cell,Cd79a,20.941048,12.047956,2.2642366255989385e-97,7.310087945746173e-93,1.0,0.005658514355157223
1,B-Cell,Ighm,20.503689,6.949603,1.9957531267437696e-93,3.22164448484613e-89,0.9863945578231292,0.11427160868904755
2,B-Cell,Bank1,20.371748,7.302763,2.9784972500303107e-92,2.7350745972750077e-88,0.9795918367346939,0.07766216010937263
3,B-Cell,Igkc,20.365429,12.973688,3.388662967043528e-92,2.7350745972750077e-88,0.9727891156462585,0.008164970378247
4,B-Cell,Ly6d,19.799929,14.0551605,2.981169720017298e-87,1.9249412882151693e-83,0.9455782312925171,0.0006076257025672186
5,B-Cell,Cd37,19.639639,5.5581975,7.089960373463675e-86,3.8149895109545785e-82,0.9591836734693877,0.10724593650311408
6,B-Cell,Ripor2,19.30718,6.275651,4.673946018755692e-83,1.886229340194094e-79,0.9455782312925171,0.06315509646058028
7,B-Cell,Stk17b,19.186169,4.463385,4.8295337928814476e-82,1.7324610944797502e-78,0.9863945578231292,0.3048382196566915
8,B-Cell,H2-DMb2,19.127617,8.139707,1.487203198254575e-81,4.801435525564895e-78,0.9183673469387755,0.012684186541090688
9,B-Cell,Arhgap15,18.973976,4.8574996,2.7990950362759326e-80,8.215343931469862e-77,0.9795918367346939,0.19652893817408476
10,B-Cell,Iglc2,18.942652,12.633155,5.0773672913614484e-80,1.2609446384738798e-76,0.9047619047619048,0.0013671578307762418
11,B-Cell,Ralgps2,18.923841,6.240838,7.25672923174226e-80,1.5618900216453256e-76,0.9183673469387755,0.07473796141576788
12,B-Cell,Cd79b,18.860624,8.369201,2.4036076032374418e-79,4.850029466907551e-76,0.9047619047619048,0.020773203706516787
13,B-Cell,Ezr,18.843534,4.0151567,3.320318560185048e-79,6.305675571504369e-76,0.9591836734693877,0.3300926629196415
14,B-Cell,Cytip,18.794016,4.941664,8.45322957997887e-79,1.5161806499423212e-75,0.9659863945578231,0.1179553395108613
15,B-Cell,Prkcb,18.721912,4.740745,3.2815994336090874e-78,5.576128300740493e-75,0.9523809523809523,0.15072915084308067
16,B-Cell,Aff3,18.7027,4.176831,4.705986240714002e-78,7.596638289072579e-75,0.9455782312925171,0.33043445237733554
17,B-Cell,Rel,18.64906,4.005222,1.2851712316591182e-77,1.9757977721006965e-74,0.9863945578231292,0.4382500379766064
18,B-Cell,Dock2,18.372494,4.3429193,2.181575201044905e-75,3.062267624597163e-72,0.9659863945578231,0.18137627221631475
19,B-Cell,Inpp5d,18.36928,4.3384695,2.314646977043167e-75,3.1136824022432767e-72,0.9523809523809523,0.22277077320370653
20,B-Cell,Mir142hg,18.286695,4.590416,1.056283727937271e-74,1.311620006017492e-71,0.9591836734693877,0.17283153577396324
21,B-Cell,H2-Ob,18.260159,7.566085,1.7179113639573143e-74,2.0541766068652555e-71,0.8775510204081632,0.019747835333434605
22,B-Cell,Ms4a1,18.221119,10.909041,3.5090005728074156e-74,3.9064856376926695e-71,0.8707482993197279,0.0032280115448883487
23,B-Cell,Blk,18.193064,9.807356,5.857309730908242e-74,6.303441488745753e-71,0.8707482993197279,0.0031520583320674466
24,B-Cell,Gm8369,18.099957,7.7854776,3.189202673738992e-73,3.120103282474647e-70,0.8707482993197279,0.023127753303964757
25,B-Cell,Iglc3,17.80478,13.438498,6.488811005735752e-71,5.661926035680507e-68,0.8503401360544217,0.00045571927692541396
26,B-Cell,Bach2,17.773617,4.2577577,1.1315402322501186e-70,9.367122153383354e-68,0.9319727891156463,0.37786723378398906
27,B-Cell,Ccr7,17.558687,8.528924,5.104265053091345e-69,4.1197799309763523e-66,0.8435374149659864,0.006987695579523014
28,B-Cell,Pax5,17.518425,12.625548,1.0365543618927759e-68,8.162233554562992e-66,0.8367346938775511,0.0006456023089776697
29,B-Cell,H2-Ab1,17.233376,5.049855,1.491869557329296e-66,1.1467859204375315e-63,1.0,0.2833434604283761
30,B-Cell,Ikzf3,17.150791,7.2562003,6.200308528581896e-66,4.35167306185362e-63,0.8299319727891157,0.01177274798723986
31,B-Cell,Ighd,17.081932,11.183622,2.0230915852510556e-65,1.3607398297881317e-62,0.8163265306122449,0.0020507367461643626
32,B-Cell,Cd74,17.057755,6.062845,3.0609942785697183e-65,2.016820413951497e-62,0.9931972789115646,0.4107169983290293
33,B-Cell,H2-Eb1,17.049892,5.070906,3.501720031592565e-65,2.2610606243993192e-62,0.9931972789115646,0.2708111803129272
34,B-Cell,Fam107b,16.992985,4.368324,9.255665457116358e-65,5.859199201627482e-62,0.8775510204081632,0.1630715479264773
35,B-Cell,H2-Aa,16.958712,5.198739,1.6594117607305118e-64,1.0302713210612418e-61,0.9863945578231292,0.2517849005012912
36,B-Cell,Fcmr,16.95117,14.379816,1.8865927464861848e-64,1.1492197513265372e-61,0.8095238095238095,0.00022785963846270698
37,B-Cell,Pde7a,16.934372,4.0086055,2.510206704725748e-64,1.50077821226057e-61,0.8775510204081632,0.2580510405590156
38,B-Cell,Syk,16.927177,3.523218,2.8366115957905754e-64,1.6650910067290678e-61,0.9455782312925171,0.31493999696187147
39,B-Cell,Il2rg,16.687767,4.2621536,1.6087797849005922e-62,8.624917114109088e-60,0.8639455782312925,0.14545040255202796
40,B-Cell,Cd52,16.684715,3.918656,1.6931178878907268e-62,8.816501775895502e-60,0.9659863945578231,0.197896096004861
41,B-Cell,Coro1a,16.678558,3.704573,1.8769364866758279e-62,9.618554678147476e-60,0.9523809523809523,0.19770621297280874
42,B-Cell,Ltb,16.497673,6.6181445,3.8130244118049014e-61,1.837365569180914e-58,0.8027210884353742,0.021001063344979493
43,B-Cell,Malt1,16.496073,3.9822013,3.915475258003121e-61,1.858987039773982e-58,0.891156462585034,0.21179553395108613
